0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:48 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:48 +0530] "GET /gamingsite/login.jsp HTTP/1.1" 200 3265
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:55 +0530] "POST /gamingsite/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:55 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:55 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:55 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:55 +0530] "GET /gamingsite/CSS/homepage.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:30:55 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:31:05 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:32:41 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:32:42 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5706
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:35:25 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:35:25 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 200 1457
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:35:25 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:37:16 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:37:16 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:38:59 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:38:59 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:00 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:00 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:00 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:00 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:00 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:56 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:56 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 200 1810
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:56 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:56 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:39:57 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:42:40 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5773
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:42:40 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 200 2691
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:45:49 +0530] "GET /gamingsite/profile HTTP/1.1" 200 5789
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:45:49 +0530] "GET /gamingsite/CSS/userprofile.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:51 +0530] "GET /gamingsite/Homepage.jsp HTTP/1.1" 200 8105
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:52 +0530] "GET /gamingsite/game2-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:52 +0530] "GET /gamingsite/game1-cover.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/Jan/2025:21:52:52 +0530] "GET /gamingsite/game3-cover.jpg HTTP/1.1" 404 781
